place_name,menu_name,menu_price
빨봉분식 숙명여대점,연탄불고기덮밥,-
빨봉분식 숙명여대점,오므라이스,-
빨봉분식 숙명여대점,쫄면,-
빨봉분식 숙명여대점,모듬튀김,-
빨봉분식 숙명여대점,치즈떡볶이,-
루다브레드,무화과 와인스틱,-
루다브레드,마롱 깜파뉴,-
루다브레드,크림치즈 카페모카,-
루다브레드,슈크림 브리오슈,-
루다브레드,연유 버터 프레첼,-
루다브레드,초코 토네이도,-
루다브레드,크로와상샌드위치,-
루다브레드,베이글 샌드위치,-
루다브레드,치아바타샌드위치,-
루다브레드,앙버터,-
루다브레드,소금빵,-
먼데이피크닉,까눌레,-
먼데이피크닉,에그타르트,-
먼데이피크닉,휘낭시에,-
먼데이피크닉,수제쿠키14종,-
먼데이피크닉,다양한구움과자,-
